,precision,recall,f1-score,support
AGN,0.757754800590842,0.8142857142857143,0.7850038255547054,1260.0
Asteroid,0.88427846934071,0.9760814249363867,0.9279148524431542,1965.0
II,0.7559692432213678,0.8506375227686703,0.8005142489822155,2196.0
Ia,0.9116781157998037,0.9036964980544747,0.9076697606253055,2056.0
Ibc,0.8225255972696246,0.7671087533156499,0.7938512215207247,1885.0
SLSN,0.8975332068311196,0.6461748633879781,0.7513899920571881,1464.0
SV,0.7952249770431589,0.8465298142717498,0.8200757575757576,2046.0
TDE,0.8844580777096115,0.8214624881291548,0.8517971442639094,2106.0
macro avg,0.8386778109757798,0.8282471348937224,0.82977710037787,14978.0
weighted avg,0.8399683058845121,0.8361597008946455,0.834875157605714,14978.0
accuracy,,,0.8361597008946455,44934.0
